TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,009
Test Abbreviation:,TEST 3 LONCO_009
Start Date:,28-07-2024
Start Time:,00:31:33
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,188
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0,091
,Minimum:,0,077
,Time of Minimum:,00:34:29
,Date of Minimum:,28-07-2024
,Maximum:,0,104
,Time of Maximum:,00:31:57
,Date of Maximum:,28-07-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
28-07-2024,20:28:03,0,040
28-07-2024,20:28:04,0,041
28-07-2024,20:28:05,0,045
28-07-2024,20:28:06,0,043
28-07-2024,20:28:07,0,041
28-07-2024,20:28:08,0,041
28-07-2024,20:28:09,0,041
28-07-2024,20:28:10,0,043
28-07-2024,20:28:11,0,042
28-07-2024,20:28:12,0,043
28-07-2024,20:28:13,0,043
28-07-2024,20:28:14,0,044
28-07-2024,20:28:15,0,044
28-07-2024,20:28:16,0,041
28-07-2024,20:28:17,0,041
28-07-2024,20:28:18,0,042
28-07-2024,20:28:19,0,044
28-07-2024,20:28:20,0,043
28-07-2024,20:28:21,0,041
28-07-2024,20:28:22,0,041
28-07-2024,20:28:23,0,041
28-07-2024,20:28:24,0,041
28-07-2024,20:28:25,0,045
28-07-2024,20:28:26,0,047
28-07-2024,20:28:27,0,045
28-07-2024,20:28:28,0,043
28-07-2024,20:28:29,0,043
28-07-2024,20:28:30,0,044
28-07-2024,20:28:31,0,043
28-07-2024,20:28:32,0,045
28-07-2024,20:28:33,0,044
28-07-2024,20:28:34,0,044
28-07-2024,20:28:35,0,043
28-07-2024,20:28:36,0,043
28-07-2024,20:28:37,0,045
28-07-2024,20:28:38,0,046
28-07-2024,20:28:39,0,044
28-07-2024,20:28:40,0,046
28-07-2024,20:28:41,0,045
28-07-2024,20:28:42,0,043
28-07-2024,20:28:43,0,045
28-07-2024,20:28:44,0,048
28-07-2024,20:28:45,0,045
28-07-2024,20:28:46,0,044
28-07-2024,20:28:47,0,042
28-07-2024,20:28:48,0,041
28-07-2024,20:28:49,0,043
28-07-2024,20:28:50,0,045
28-07-2024,20:28:51,0,044
28-07-2024,20:28:52,0,045
28-07-2024,20:28:53,0,046
28-07-2024,20:28:54,0,050
28-07-2024,20:28:55,0,049
28-07-2024,20:28:56,0,045
28-07-2024,20:28:57,0,048
28-07-2024,20:28:58,0,050
28-07-2024,20:28:59,0,047
28-07-2024,20:29:00,0,045
28-07-2024,20:29:01,0,047
28-07-2024,20:29:02,0,050
28-07-2024,20:29:03,0,052
28-07-2024,20:29:04,0,049
28-07-2024,20:29:05,0,046
28-07-2024,20:29:06,0,047
28-07-2024,20:29:07,0,046
28-07-2024,20:29:08,0,046
28-07-2024,20:29:09,0,048
28-07-2024,20:29:10,0,050
28-07-2024,20:29:11,0,049
28-07-2024,20:29:12,0,046
28-07-2024,20:29:13,0,045
28-07-2024,20:29:14,0,048
28-07-2024,20:29:15,0,047
28-07-2024,20:29:16,0,049
28-07-2024,20:29:17,0,049
28-07-2024,20:29:18,0,045
28-07-2024,20:29:19,0,046
28-07-2024,20:29:20,0,049
28-07-2024,20:29:21,0,046
28-07-2024,20:29:22,0,045
28-07-2024,20:29:23,0,047
